frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
58,7,0,car,0.7762,611,492,722,526
58,8,0,car,0.7297,305,122,351,168
58,9,0,car,0.6028,305,116,332,134
58,10,0,car,0.5702,311,39,332,55
58,11,0,car,0.3273,315,116,340,134
58,12,0,car,0.3097,303,39,322,55
59,1,0,car,0.8502,0,190,83,234
59,2,0,car,0.8288,170,261,281,310
59,3,0,car,0.8286,237,308,356,369
59,4,0,car,0.7991,386,195,470,232
59,5,0,car,0.7973,479,197,561,234
59,6,0,car,0.7943,632,152,699,182
59,7,0,car,0.7743,611,492,723,526
59,8,0,car,0.7301,305,122,351,168
59,9,0,car,0.6027,305,116,332,134
59,10,0,car,0.5696,311,39,332,55
59,11,0,car,0.324,315,116,340,134
59,12,0,car,0.3066,303,39,322,55
60,1,0,car,0.8465,0,190,81,232
60,2,0,car,0.826,171,259,282,308
60,3,0,car,0.824,246,304,366,367
60,4,0,car,0.7988,473,196,556,233
60,5,0,car,0.7983,383,194,464,231
60,6,0,car,0.7944,630,151,694,182
60,7,0,car,0.7933,612,490,713,526
60,8,0,car,0.7275,306,121,350,167
60,9,0,car,0.5954,305,116,331,134
60,10,0,car,0.5607,311,39,332,55
60,11,0,car,0.3032,302,39,321,54
60,12,0,car,0.2829,315,115,339,133
61,1,0,car,0.8444,0,189,76,232
61,2,0,car,0.8258,257,300,377,360
61,3,0,car,0.8257,173,258,284,305
61,4,0,car,0.8006,611,487,715,526
61,5,0,car,0.8,377,194,461,231
61,6,0,car,0.7988,469,195,552,233
61,7,0,car,0.7811,627,150,693,182
61,8,0,car,0.7261,306,120,350,167
61,9,0,car,0.5974,305,116,331,133
61,10,0,car,0.5672,311,38,331,53
61,11,0,car,0.2705,301,38,318,53
62,1,0,car,0.8314,284,293,397,350
62,2,0,car,0.8313,0,187,67,231
62,3,0,car,0.8273,178,254,287,300
62,4,0,car,0.827,614,482,713,526
62,5,0,car,0.8021,370,192,452,229
62,6,0,car,0.7967,461,195,542,232
62,7,0,car,0.7914,615,149,684,181
62,8,0,car,0.7284,306,118,350,164
62,9,0,car,0.5913,305,113,331,131
62,10,0,car,0.5212,314,36,334,53
62,11,0,car,0.4749,308,37,329,52
62,12,0,car,0.4136,313,113,339,131
63,1,0,car,0.8342,0,187,62,229
63,2,0,car,0.8317,614,479,716,526
63,3,0,car,0.8263,179,252,288,299
63,4,0,car,0.8232,291,290,409,346
63,5,0,car,0.8003,364,192,448,229
63,6,0,car,0.7992,455,194,538,231
63,7,0,car,0.7935,614,149,680,180
63,8,0,car,0.7269,306,117,350,163
63,9,0,car,0.611,306,112,333,130
63,10,0,car,0.5385,311,37,332,52
63,11,0,car,0.2595,301,37,321,51
64,1,0,car,0.8331,0,187,62,229
64,2,0,car,0.8314,614,480,716,526
64,3,0,car,0.8268,179,252,289,299
64,4,0,car,0.8237,291,290,409,346
64,5,0,car,0.7998,364,192,448,229
64,6,0,car,0.7981,455,194,537,231
64,7,0,car,0.7927,614,149,680,180
64,8,0,car,0.7262,307,117,350,163
64,9,0,car,0.6086,306,112,333,130
64,10,0,car,0.5384,311,36,332,52
64,11,0,car,0.2614,302,37,322,51
65,1,0,car,0.8291,0,187,59,229
65,2,0,car,0.8288,612,477,719,526
65,3,0,car,0.8235,299,287,422,343
65,4,0,car,0.8218,181,250,290,297
65,5,0,car,0.8008,449,193,534,230
65,6,0,car,0.7983,358,191,443,228
65,7,0,car,0.7905,611,148,675,179
65,8,0,car,0.7245,307,117,350,162
65,9,0,car,0.6056,307,111,332,129
65,10,0,car,0.5545,311,36,332,51
65,11,0,car,0.3052,303,36,322,51
66,1,0,car,0.839,611,472,722,526
